user_id,username,num_followers,num_following,num_repos,created_at,star_time
1923548,zrthstr,12,2,51,2012-07-04 15:45:46,2018-05-01 02:30:58
4340829,DannyRavi,43,147,74,2013-05-04 11:27:31,2019-02-02 14:00:28
753891,0xdevalias,172,134,84,2011-04-26 23:08:05,2018-12-20 03:20:11
5104722,codercahol,4,8,1,2013-07-27 18:40:19,2018-09-15 19:23:46
2885827,jarmitage,112,714,55,2012-11-25 13:16:32,2018-04-30 18:33:41
1512301,jeremiahstover,1,1,2,2012-03-07 11:40:06,2019-04-20 20:12:19
747463,lucansky,3,2,19,2011-04-23 08:28:08,2018-07-13 15:30:40
2124722,medul6,14,0,10,2012-08-09 12:17:24,2018-04-30 19:25:50
11479165,capitulation,21,13,17,2015-03-14 14:53:59,2018-05-01 04:54:44
7148478,irosyadi,5,19,11,2014-04-03 04:30:16,2018-05-02 08:41:44
9436892,mikekim9293,8,2,4,2014-10-28 13:52:05,2018-04-30 18:45:38
409747,tomfleet,5,40,14,2010-09-21 07:16:32,2019-02-12 09:31:05
1232249,Felipeasg,15,16,171,2011-11-30 20:10:40,2019-10-07 18:53:44
603889,pumpikano,107,48,31,2011-02-06 19:09:06,2018-05-01 12:57:05
4248736,goran-mahovlic,36,122,67,2013-04-24 14:21:23,2019-03-18 03:52:06
16637139,Cosby5,3,59,6,2016-01-10 13:52:39,2019-05-26 13:02:01
3035479,SherpaPierpa,5,34,34,2012-12-13 11:39:34,2019-03-22 06:26:41
2132769,thexinchen,4,3,31,2012-08-10 19:24:36,2018-09-05 04:38:09
42687181,cooldenng,1,6,0,2018-08-24 20:56:14,2019-06-25 03:13:53
747838,AmitShah,19,55,310,2011-04-23 13:44:07,2018-04-30 22:04:01
16029957,klonggan,5,5,45,2015-11-26 03:57:46,2019-08-01 20:52:16
2615630,wlmeng11,32,52,27,2012-10-21 16:52:09,2018-07-16 00:39:02
1617986,yyyg45,8,1,0,2012-04-06 03:05:24,2019-05-29 03:33:33
131179,codykrieger,218,135,44,2009-09-25 05:57:39,2018-04-30 22:35:24
1717845,BillBrower,21,217,15,2012-05-08 10:10:25,2018-05-01 19:49:05
21286338,liuzhiping1,4,12,107,2016-08-27 22:08:23,2019-12-18 07:43:02
915045,tiborpilz,8,12,30,2011-07-14 08:38:21,2019-03-19 23:31:33
11703698,Surfndez,35,827,734,2015-03-29 02:01:15,2018-08-30 03:00:02
5789232,GitMoDu,14,25,24,2013-10-27 16:43:09,2018-05-11 12:10:22
13452243,insidentes,0,0,3,2015-07-22 08:15:45,2018-08-30 07:12:41
8693515,ikamthania,15,99,6,2014-09-08 03:31:16,2018-05-01 00:13:40
7269015,rcaisse2722,3,1,4,2014-04-11 20:27:09,2018-05-04 15:43:28
