user_id,username,num_followers,num_following,num_repos,created_at,star_time
770589,utommo,4,6,11,2011-05-05 12:18:17,2017-04-30 20:01:21
12863854,masip85,3,47,10,2015-06-12 12:22:53,2019-08-30 07:23:05
9056253,di1eep,65,1017,26,2014-10-07 13:28:54,2017-04-17 06:14:18
45806,iseanstevens,25,47,5,2009-01-11 15:14:55,2017-04-30 21:08:27
3850657,sponnusa,45,5,143,2013-03-13 01:09:03,2017-05-03 07:54:15
23668205,mitoksim,37,1069,0,2016-11-22 19:08:32,2017-12-11 15:47:09
5475267,zhangtemplar,21,30,61,2013-09-16 23:46:30,2017-04-30 23:04:32
206854,kasbah,140,711,178,2010-02-19 11:41:47,2017-08-09 17:42:02
5554798,metanoic,0,19,9,2013-09-26 22:44:34,2018-12-17 22:43:48
22951662,cvabc,1,8,0,2016-10-20 00:59:36,2018-11-19 08:47:13
52820632,tinlokchan,0,0,0,2019-07-12 04:38:39,2019-07-12 04:42:39
313864,pdp7,345,1407,91,2010-06-24 13:09:24,2017-04-12 21:01:10
1037176,JamesHagerman,61,152,140,2011-09-08 17:54:19,2017-05-01 01:20:26
